head,URL,Cuisines,PhoneNumber,AverageCost
Sri Udupi Park,https://www.zomato.com/bangalore/sri-udupi-park-indiranagar,"South Indian, North Indian, Chinese, Street Food, Biryani, Ice Cream, Beverages, Shake",9.20E+11,450
Meghana Foods,https://www.zomato.com/bangalore/meghana-foods-indiranagar,"Biryani, Andhra, North Indian, Seafood",9.18E+11,700
Donne Biriyani House,https://www.zomato.com/bangalore/donne-biriyani-house-indiranagar-bangalore,Biryani,9.19E+11,300
Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-indiranagar,"Pizza, Fast Food, Desserts",9.20E+11,400
KFC,https://www.zomato.com/bangalore/kfc-indiranagar,"Burger, Fast Food, Biryani, Desserts, Beverages",9.20E+11,400
The Congee Concept,https://www.zomato.com/bangalore/the-congee-concept-ulsoor-bangalore,South Indian,9.18E+11,100
Burger King,https://www.zomato.com/bangalore/burger-king-indiranagar,"Burger, Fast Food, Beverages, Desserts",9.18E+11,400
McDonald's,https://www.zomato.com/bangalore/mcdonalds-indiranagar,"Burger, Beverages, Fast Food, Desserts",9.19E+11,400
Mani's Dum Biryani,https://www.zomato.com/manisindiranagar,"Biryani, Kebab",9.18E+11,800
Madras Meal Company,https://www.zomato.com/bangalore/madras-meal-company-thippasandra-bangalore,South Indian,9.18E+11,150
ZAZA 22 Spice Biryani,https://www.zomato.com/bangalore/zaza-22-spice-biryani-indiranagar-bangalore,"Biryani, Mughlai, North Indian",9.18E+11,200
New Alameen Restaurant,https://www.zomato.com/bangalore/new-alameen-restaurant-ulsoor-bangalore,"Kerala, North Indian, Chinese",9.18E+11,300
Ovenstory Pizza,https://www.zomato.com/bangalore/ovenstory-pizza-indiranagar,"Pizza, Desserts",9.18E+11,250
Biryani Trip,https://www.zomato.com/bangalore/biryani-trip-indiranagar-bangalore,"Hyderabadi, Biryani",9.18E+11,250
FreshMenu,https://www.zomato.com/FreshMenuIndiranagar,"Continental, North Indian, Biryani",9.18E+11,200
BOX8 - Desi Meals,https://www.zomato.com/bangalore/box8-desi-meals-indiranagar-bangalore,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages",9.18E+11,200
Nagarjuna,https://www.zomato.com/bangalore/nagarjuna-indiranagar,"Andhra, Biryani, North Indian",9.18E+11,800
Natural Ice Cream,https://www.zomato.com/bangalore/natural-ice-cream-indiranagar,"Ice Cream, Beverages",9.20E+11,300
Bucket Biryani,https://www.zomato.com/bangalore/bucket-biryani-brigade-road-bangalore,"Biryani, Kebab",9.20E+11,1000
Rotti Walla,https://www.zomato.com/bangalore/rotti-walla-indiranagar-bangalore,"North Indian, South Indian, Chinese, Mughlai, Biryani, Fast Food, Beverages, Desserts",9.19E+11,100
Green Pepper,https://www.zomato.com/bangalore/green-pepper-jeevan-bhima-nagar,"Kerala, Biryani, North Indian, South Indian, Seafood, Chinese",9.20E+11,600
Punjabi Dhaba,https://www.zomato.com/bangalore/punjabi-dhaba-indiranagar-bangalore,"North Indian, Mughlai, Chinese",9.20E+11,500
Burma Burma,https://www.zomato.com/bangalore/burma-burma-indiranagar-bangalore,"Salad, Burmese, Asian, Tea, Beverages",9.18E+11,1500
Pizza Hut,https://www.zomato.com/bangalore/pizza-hut-indiranagar,"Pizza, Fast Food, Desserts, Beverages",9.20E+11,400
